 01e49e   3668 TEXT     'imu_MadgwickQuaternionUpdate()'
 0231bc    114 TEXT     'check_fs(FATFS*, unsigned long)'
 00812c    112 TEXT     'widget_compass_heading_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00545e    112 TEXT     'SDCardManager_GetNbBlocks()'
 011770    112 TEXT     'gui_set_menu_audio_item(unsigned char, char*, unsigned char*, char*)'
 012bd6    112 TEXT     'gui_set_widgets_action(unsigned char)'
 025f50    112 TEXT     'xmit_datablock(unsigned char const*, unsigned char)'
 02b54c    110 TEXT     'read_battery_per_from_calibration(unsigned int)'
 016360    110 TEXT     'gui_pages_set_time_manual_cb(float)'
 021bdc    110 TEXT     'waypoint_task_opti_distance(opti_waypoint_cache_t*, opti_waypoint_cache_t*)'
 00485e    110 TEXT     'Usart::SetInterruptPriority(unsigned char)'
 0044aa    110 TEXT     'Timer::SetCompare(unsigned char, unsigned int)'
 02cde4    110 TEXT     'lcd_display::get_sin(unsigned int)'
 024336    110 TEXT     'dir_read(DIR*, int) [clone .constprop.14]'
 00e9b4    108 TEXT     'gui_set_airspaces_reset_cb(unsigned char)'
 0219ac    108 TEXT     'waypoint_task_switch_wpt(unsigned char, unsigned char)'
 010626    108 TEXT     'gui_set_calib_action(unsigned char)'
 02b6ae    108 TEXT     'save_bat_cal_value(unsigned int)'
 01d672    108 TEXT     'fc_zero_alt(unsigned char)'
 02c134    108 TEXT     'lcd_display::LoadFont(unsigned char const*)'
 02e14e    106 TEXT     'Setup()'
 004310    106 TEXT     'Timer::Init(PORT_struct*, xlib_core_timer_prescaler_e)'
 0287f0    106 TEXT     '__vector_35'
 005e80    106 TEXT     'Endpoint_SelectEndpoint'
 01c5aa    104 TEXT     'cfg_mag_write_defaults()'
 01c542    104 TEXT     'cfg_acc_write_defaults()'
 02ab7e    104 TEXT     'buzzer_set_freq(unsigned int)'
 00474e    104 TEXT     'Usart::RxComplete()'
 021946    102 TEXT     'waypoint_task_modify_wpt(unsigned char, task_waypoint_t*, bool)'
 021678    102 TEXT     'waypoint_task_get_wpt(unsigned char, task_waypoint_t*, bool)'
 012f34    102 TEXT     'gui_trigger_backlight()'
 02d91c    102 TEXT     'uart_low_speed()'
 01fa82    102 TEXT     'KalmanFilter::Update_Propagate(float, float, float*, float*)'
 02fcfe    102 TEXT     'vsnprintf_P'
 02f41c    102 TEXT     'modf'
 02ac4e    100 TEXT     'seq_start(sequence_t const*, unsigned char, bool)'
 00e2de    100 TEXT     'gui_waypoint_list_item(unsigned char, char*, unsigned char*, char*)'
 013176    100 TEXT     'gui_caligh_text(char*, unsigned char, unsigned char)'
 0267be    100 TEXT     'storage_deinit()'
 0047b6    100 TEXT     'Usart::TxComplete()'
 016554     98 TEXT     'page_set(unsigned char)'
 018e90     98 TEXT     'kml_stop()'
 012018     98 TEXT     'gui_set_vario_sink_cb(float)'
 011fb6     98 TEXT     'gui_set_vario_lift_cb(float)'
 01bc40     98 TEXT     'circling_reset()'
 02cc76     98 TEXT     'lcd_display::CopyToLayerPart(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)'
 028b1c     96 TEXT     'bt_send(unsigned int, unsigned char*)'
 00cccc     96 TEXT     'gui_flightdetail_init()'
 010692     96 TEXT     'gui_set_calib_item(unsigned char, char*, unsigned char*, char*)'
 0144d6     96 TEXT     'gui_dialog_set_P(char const*, char const*, unsigned char, void (*)(unsigned char))'
 020ef6     96 TEXT     'waypoint_show()'
 00577e     96 TEXT     'CALLBACK_USB_GetDescriptor'
 01c7c4     94 TEXT     'cfg_load()'
 01a830     94 TEXT     'agl_step()'
 00ecc6     94 TEXT     'gui_set_airspaces_class_action(unsigned char)'
 016c98     94 TEXT     'page_select_first_widget()'
 006b22     94 TEXT     'task_get_ms_tick_once()'
 003e5c     94 TEXT     'GpioSetInterrupt(PORT_struct*, unsigned char, xlib_core_gpio_intmask_e)'
 004ae0     94 TEXT     'Usart::Read()'
 02c9a2     94 TEXT     'lcd_display::DrawCircle(unsigned char, unsigned char, unsigned char, unsigned char)'
 022a20     92 TEXT     'waypoint_task_time_to_deadline()'
 0229c4     92 TEXT     'waypoint_task_time_to_start()'
 016c3c     92 TEXT     'page_select_next_widget()'
 00f568     92 TEXT     'gui_set_altimeter_stop()'
 013ffe     92 TEXT     'gui_alarm_init()'
 00613e     92 TEXT     'USB_ResetInterface'
 8022a8     92     DATA 'gui_stop_array'
 80224c     92     DATA 'gui_loop_array'
 8021f0     92     DATA 'gui_irqh_array'
 802304     92     DATA 'gui_init_array'
 002eae     91 TEXT     'sin_table'
 02dd58     90 TEXT     'io_init()'
 00f6c0     90 TEXT     'gui_set_altimeters_qnh2_cb(float)'
 014a0e     90 TEXT     'gui_filemanager_item(unsigned char, char*, unsigned char*, char*)'
 0068f4     90 TEXT     'task_powerdown_init()'
 01549c     90 TEXT     'gui_text_add(char)'
 02a532     90 TEXT     'pan1322::SetName(char const*)'
 02870e     90 TEXT     'SHT21::Read()'
 02cf2a     88 TEXT     'led_set(unsigned int, unsigned int, unsigned int)'
 00c558     88 TEXT     'gui_compass_calib_declination(float)'
 021620     88 TEXT     'waypoint_task_modify_head(task_header_t*, bool)'
 017e52     88 TEXT     'protocol_bluefly_step()'
 016cf6     88 TEXT     'gui_pages_idle_irqh(unsigned char, unsigned char*)'
 0288a4     88 TEXT     'bt_module_reset()'
 01937a     88 TEXT     'logger_comment(char const*, ...)'
 0150a0     88 TEXT     'gui_text_conf(char*, unsigned char, void (*)(unsigned char, char*))'
 015048     88 TEXT     'gui_list_irqh(unsigned char, unsigned char*)'
 0189c2     88 TEXT     'igc_comment(char*)'
 0045ba     88 TEXT     'Timer::DisableInterrupts(unsigned char)'
 02fc02     88 TEXT     'fputs'
 02ec4a     88 TEXT     '__fixunssfsi'
 012e4c     86 TEXT     'gui_settings_item(unsigned char, char*, unsigned char*, char*)'
 004090     86 TEXT     '__vector_46'
 0040e6     86 TEXT     '__vector_13'
 02ef52     86 TEXT     '__fp_rempio2'
 01f5ca     84 TEXT     'imu_step()'
 0134c4     84 TEXT     'gui_init()'
 0080d8     84 TEXT     'widget_compass_arrow_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 028018     84 TEXT     'MS5611::Read24(unsigned char)'
 001c08     84 TEXT     'img_gps_on'
 00619a     84 TEXT     'USB_Init'
 00bbc6     82 TEXT     'gui_accelerometer_calib_init()'
 008c6a     82 TEXT     'widget_waypoint_info_irqh(unsigned char, unsigned char*)'
 016bea     82 TEXT     'page_widgets_have_menu()'
 01e100     82 TEXT     'fc_manual_alt0_change(float)'
 02fcac     82 TEXT     'sprintf_P'
 02fc5a     82 TEXT     'sprintf'
 005fe8     82 TEXT     'Endpoint_ConfigureEndpoint_PRV'
 008d3c     80 TEXT     'widget_odometer_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 012ea2     80 TEXT     'gui_settings_action(unsigned char)'
 0150f8     80 TEXT     'gui_text_gen_c(unsigned char, unsigned char)'
 02abe6     80 TEXT     'buzzer_init()'
 023740     80 TEXT     'clust2sect(FATFS*, unsigned long)'
 028768     80 TEXT     'SHT21::CompensateTemperature()'
 004212     80 TEXT     'Spi::InitMaster(SPI_struct*, PORT_struct*, unsigned char)'
 023a78     80 TEXT     'dir_remove(DIR*)'
 004d54     80 TEXT     '__vector_89'
 004d04     80 TEXT     '__vector_88'
 004df4     80 TEXT     '__vector_59'
 004da4     80 TEXT     '__vector_58'
 004cb4     80 TEXT     '__vector_26'
 004c64     80 TEXT     '__vector_25'
 004e94     80 TEXT     '__vector_120'
 004e44     80 TEXT     '__vector_119'
 02d65c     80 TEXT     '__vector_10'
 005f6a     80 TEXT     'Endpoint_ClearSETUP'
 02ea9e     80 TEXT     'atan'
 02ad38     78 TEXT     'seq_loop()'
 009128     78 TEXT     'widget_waypoint_direction_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00dc7a     78 TEXT     'gui_task_editor_init()'
 01aa38     78 TEXT     'airspace_is_inside(unsigned int, unsigned int, int, int)'
 02ab30     78 TEXT     'buzzer_set_vol(unsigned char)'
 02aac0     78 TEXT     'audio_step()'
 025e02     78 TEXT     'wait_ready()'
 008dd4     76 TEXT     'widget_waypoint_distance_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00fa00     76 TEXT     'gui_set_audio_vario_vol_cb(float)'
 00fa4c     76 TEXT     'gui_set_audio_alert_vol_cb(float)'
 00682a     76 TEXT     'task_special_files_handle()'
 00fa98     76 TEXT     'gui_set_audio_menu_vol_cb(float)'
 0082fa     76 TEXT     'widget_ctrl_wlift_irqh(unsigned char, unsigned char*)'
 00e452     76 TEXT     'gui_waypoint_list_init()'
 02de94     76 TEXT     'sec_to_mul(float)'
 02aa4e     76 TEXT     'pan1322::StreamHead(unsigned int)'
 0293f4     76 TEXT     'pan1026::ParseGAT_cli()'
 027fcc     76 TEXT     'MS5611::Read16(unsigned char)'
 02f6c2     76 TEXT     '__umulsidi3_helper'
 02f80a     76 TEXT     'atol'
 01e454     74 TEXT     'imu_init()'
 003d82     74 TEXT     'DacInit(unsigned char)'
 0133ee     74 TEXT     'gui_update_disp_cfg()'
 02685e     74 TEXT     'storage_get_files()'
 01d5b6     74 TEXT     'fc_alt_to_qnh(float, float)'
 01b782     74 TEXT     'airspace_step()'
 02de4a     74 TEXT     'mul_to_sec(float)'
 028cf4     74 TEXT     'pan1026::SetBusy(unsigned int)'
 02c88e     74 TEXT     'lcd_display::InvertPart(unsigned char, unsigned char, unsigned char, unsigned char)'
 02eec8     74 TEXT     '__fp_powser'
 02dab0     72 TEXT     'GetID_str(char*)'
 027802     72 TEXT     'gps_stop()'
 01d08e     72 TEXT     'fc_reset()'
 008d8c     72 TEXT     'widget_home_distance_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0090e0     72 TEXT     'widget_home_arrow_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 018106     72 TEXT     'protocol_step()'
 004706     72 TEXT     'Usart::GetRxLen()'
 02edfc     72 TEXT     '__fp_cmp'
 022dda     70 TEXT     'wind_init()'
 017fae     70 TEXT     'protocol_generic_parse()'
 015002     70 TEXT     'gui_list_action()'
 01d62c     70 TEXT     'fc_alt_to_press(float, float)'
 02806c     70 TEXT     'MS5611::ReadPROM()'
 005040     70 TEXT     'RingBuffer::Rewind(unsigned int)'
 004fb0     70 TEXT     'RingBuffer::Write(unsigned char)'
 004f6a     70 TEXT     'RingBuffer::Read()'
 02ff1c     70 TEXT     'eeprom_write_byte'
 01d328     68 TEXT     'fc_hike()'
 008346     68 TEXT     'widget_ctrl_audio_irqh(unsigned char, unsigned char*)'
 0149ca     68 TEXT     'gui_dialog_irqh(unsigned char, unsigned char*)'
 02d7a4     68 TEXT     'time_get_utc()'
 02c5b0     68 TEXT     'lcd_display::InvertPixel(unsigned char, unsigned char)'
 02f520     68 TEXT     '__udivmodsi4'
 02efe4     68 TEXT     '__fp_split3'
 00fe72     66 TEXT     'gui_set_autoset_config_acro_thold_cb(float)'
 02c960     66 TEXT     'lcd_display::plot8points(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)'
 025e50     66 TEXT     'select()'
 01239c     64 TEXT     'gui_set_vario_advanced_weak_cb(float)'
 00ed24     64 TEXT     'gui_set_airspaces_class_item(unsigned char, char*, unsigned char*, char*)'
 00e49e     64 TEXT     'gui_set_layouts_pages_cb(float)'
 01c612     64 TEXT     'cfg_gyro_write_defaults()'
 02d752     64 TEXT     'time_set_utc(unsigned long)'
 02a58c     64 TEXT     'pan1322::SetDiscoverable(bool)'
 028c9a     64 TEXT     'pan1026::Restart()'
 022f28     64 TEXT     'get_ldnumber(char const**)'
 02f1d8     64 TEXT     'round'
 009cb4     62 TEXT     'widget_flight_time_irqh(unsigned char, unsigned char*)'
 008c10     62 TEXT     'widget_odometer_irqh(unsigned char, unsigned char*)'
 012c46     62 TEXT     'gui_set_widgets_init()'
 027b54     62 TEXT     'Lsm303d::Write(unsigned char, unsigned char)'
 027b92     62 TEXT     'Lsm303d::Read(unsigned char)'
 027882     62 TEXT     'L3gd20::Write(unsigned char, unsigned char)'
 0278c0     62 TEXT     'L3gd20::Read(unsigned char)'
 022f68     62 TEXT     'validate(void*)'
 022e36     62 TEXT     'mem_cpy(void*, void const*, unsigned int)'
 00e074     60 TEXT     'gui_waypoint_editor_radius_cb(float)'
 00d186     60 TEXT     'gui_mag_calib_get_extrem(int, int*, int*)'
 0110e0     60 TEXT     'gui_set_gps_detail_irqh(unsigned char, unsigned char*)'
 0164d6     60 TEXT     'gui_enter_widget_menu()'
 014b54     60 TEXT     'gui_filemanager_stop()'
 00f5cc     60 TEXT     'set_alt_find_abs(unsigned char, unsigned char)'
 02ddb2     60 TEXT     'mems_power_init()'
 01f61e     60 TEXT     'KalmanFilter::Configure(float, float, float)'
 02c1a0     60 TEXT     'lcd_display::sendcommand(unsigned char)'
 006c54     58 TEXT     'task_init()'
 010772     58 TEXT     'gui_set_display_brightness_cb(float)'
 00e944     58 TEXT     'gui_set_airspaces_warning_cb(float)'
 010738     58 TEXT     'gui_set_display_contrast_cb(float)'
 0209dc     58 TEXT     'vario_update_history_delay()'
 01313c     58 TEXT     'gui_raligh_text_P(char const*, unsigned char, unsigned char)'
 0131da     58 TEXT     'gui_caligh_text_P(char const*, unsigned char, unsigned char)'
 027d74     58 TEXT     'Lsm303d::StartReadAccStream(unsigned char)'
 0279ae     58 TEXT     'L3gd20::StartReadGyroStream(unsigned char)'
 019cb4     58 TEXT     'Sha256Class::result()'
 02fb50     58 TEXT     'fprintf_P'
 02f7d0     58 TEXT     'atoi'
 00f502     56 TEXT     'gui_set_altimeter_list()'
 01a9c8     56 TEXT     'airspace_alt_is_below(unsigned int, int, int)'
 01aa00     56 TEXT     'airspace_alt_is_above(unsigned int, int, int)'
 003c02     56 TEXT     'AdcPipeSetSource(ADC_CH_struct*, xlib_core_adc_source_e)'
 014f64     56 TEXT     'gui_list_set(void (*)(unsigned char, char*, unsigned char*, char*), void (*)(unsigned char), unsigned char, unsigned char)'
 027d3c     56 TEXT     'Lsm303d::Start()'
 0287b8     56 TEXT     'SHT21::CompensateHumidity()'
 004262     56 TEXT     'Spi::Stop()'
 02f744     56 TEXT     '__lshrdi3'
 00603a     56 TEXT     'Endpoint_ClearEndpoints'
 00fe3c     54 TEXT     'gui_set_autoset_config_circling_timeout_cb(float)'
 010702     54 TEXT     'gui_set_display_brightness_timeout_cb(float)'
 00ee4c     54 TEXT     'gui_set_alt_alarm_confirm_secs_cb(float)'
 00e97e     54 TEXT     'gui_set_airspace_confirm_secs_cb(float)'
 00ede0     54 TEXT     'gui_set_alt_alarm_alarm_h1_cb(float)'
 00edaa     54 TEXT     'gui_set_alt_alarm_alarm2_cb(float)'
 00ed74     54 TEXT     'gui_set_alt_alarm_alarm1_cb(float)'
 00ee16     54 TEXT     'gui_set_alt_alarm_reset_cb(float)'
 0117e0     54 TEXT     'gui_set_menu_audio_action(unsigned char)'
 011320     54 TEXT     'gui_set_total_time_cb(float)'
 02274c     54 TEXT     'waypoint_goto_next()'
 013fc8     54 TEXT     'suppress_alarm()'
 0164a0     54 TEXT     'gui_pages_init()'
 02d278     54 TEXT     'time_need_set()'
 0295c6     54 TEXT     'pan1026::RawSendStatic(unsigned char const*, unsigned char)'
 02ee50     54 TEXT     '__fp_mintl'
 02edc6     54 TEXT     '__fp_arccos'
 0100a0     52 TEXT     'gui_set_autostart_start_threshold_cb(float)'
 0100d4     52 TEXT     'gui_set_autostart_land_threshold_cb(float)'
 01013c     52 TEXT     'gui_set_autostart_gps_speed_cb(float)'
 010108     52 TEXT     'gui_set_autostart_timeout_cb(float)'
 00fd78     52 TEXT     'gui_set_autoset_action(unsigned char)'
 012ba2     52 TEXT     'gui_set_widgets_item(unsigned char, char*, unsigned char*, char*)'
 02b518     52 TEXT     'battery_calibrated()'
 028870     52 TEXT     'bt_module_deinit()'
 0193e0     52 TEXT     'logger_stop()'
 02ccd8     52 TEXT     'lcd_display::ClearBuffer()'
 02fa4e     52 TEXT     'strstr_P'
 0057ee     52 TEXT     'EVENT_USB_Device_ControlRequest'
 005f36     52 TEXT     'Endpoint_IsSETUPReceived'
 005f02     52 TEXT     'Endpoint_IsOUTReceived'
 02d210     50 TEXT     'lcd_bckl(unsigned char)'
 02df90     50 TEXT     'atoi_c(char*)'
 0180d4     50 TEXT     'protocol_set_next_step(unsigned long)'
 0041c4     50 TEXT     'RtcEnableInterrupts(unsigned char)'
 0180a0     50 TEXT     'protocol_tx_flush()'
 014fd0     50 TEXT     'gui_list_movedown()'
 01d584     50 TEXT     'fc_alarm_running(unsigned char)'
 01c134     50 TEXT     'compass_init()'
 02a4a2     50 TEXT     'pan1322::StreamTail()'
 027ce2     50 TEXT     'Lsm303d::EnableMag(lsm303d_mag_odr, lsm303d_mag_scale, bool)'
 027c14     50 TEXT     'Lsm303d::Reset()'
 004ff6     50 TEXT     'RingBuffer::Write(unsigned int, unsigned char*)'
 028c54     50 TEXT     '_GLOBAL__sub_I_bt_autodetect'
 02f70e     50 TEXT     '__ashldi3'
 006876     48 TEXT     'task_active_init()'
 015148     48 TEXT     'gui_text_del()'
 0280dc     48 TEXT     'MS5611::Init(I2c*, unsigned char)'
 004c10     48 TEXT     'Usart::SendRaw(unsigned char)'
 02867c     48 TEXT     'SHT21::SelfTest()'
 0286d6     48 TEXT     'SHT21::Init(I2c*, sht21_settings)'
 019414     48 TEXT     'Sha256Class::init()'
 02c218     48 TEXT     'lcd_display::Stop()'
 02cc3e     48 TEXT     'lcd_display::CopyToLayer(unsigned char)'
 005086     48 TEXT     'RingBuffer::Forward(unsigned int)'
 000d1f     47 TEXT     'widget_sorted'
 00f53a     46 TEXT     'gui_set_altimeter_init()'
 009cf2     46 TEXT     'widget_hike_mode_irqh(unsigned char, unsigned char*)'
 02694a     46 TEXT     'storage_file_exist_P(char const*)'
 0069dc     46 TEXT     'task_update_init()'
 02de1c     46 TEXT     'mems_power_off()'
 02ddee     46 TEXT     'mems_power_on()'
 0050f2     46 TEXT     'RingBufferSmall::Write(unsigned char)'
 02f028     46 TEXT     '__fp_trunc'
 005fba     46 TEXT     'Endpoint_StallTransaction'
 02e9fc     46 TEXT     'asin'
 02d804     44 TEXT     'uart_send(unsigned int, unsigned char*)'
 012480     44 TEXT     'gui_set_vario_advanced_avg_int_cb(float)'
 02b5d6     44 TEXT     'battery_reset_calibration()'
 02691e     44 TEXT     'storage_file_exist(char*)'
 013cee     44 TEXT     'gui_airspace_init()'
 006960     44 TEXT     'powerdown_sleep()'
 01d600     44 TEXT     'fc_press_to_alt(float, float)'
 006b92     44 TEXT     'fine_timer_get()'
 0050c6     44 TEXT     'RingBufferSmall::Read()'
 006072     44 TEXT     'Endpoint_ClearStatusStage'
 01c652     42 TEXT     'cfg_compass_write_defaults()'
 01c67c     42 TEXT     'cfg_baro_write_defaults()'
 01739c     42 TEXT     'gui_update_eeprom_cb(unsigned char)'
 0069b2     42 TEXT     'task_powerdown_irqh(unsigned char, unsigned char*)'
 022782     42 TEXT     'waypoint_goto_prev()'
 013068     42 TEXT     'gui_showmessage_P(char const*)'
 0133c4     42 TEXT     'gui_dialog_P(char const*)'
 004834     42 TEXT     'Usart::Stop()'
 019b96     42 TEXT     'Sha256Class::addUncounted(unsigned char)'
 025d0e     42 TEXT     'rcvr_mmc(unsigned char*, unsigned int)'
 005df8     42 TEXT     'Endpoint_ClearIN'
 004eee     42 TEXT     'CCPIOWrite'
 012458     40 TEXT     'gui_set_vario_advanced_dig_int_cb(float)'
 016512     40 TEXT     'gui_exit_widget_menu()'
 014fa8     40 TEXT     'gui_list_moveup()'
 027492     40 TEXT     'gps_detail()'
 027f1a     40 TEXT     'Lsm303d::StartReadMag()'
 025dda     40 TEXT     'xmit_mmc(unsigned char const*, unsigned int)'
 025d38     40 TEXT     'deselect()'
 02f4d2     40 TEXT     '__udivmodhi4'
 0006bc     40 TEXT     'ProductString'
 02f564     40 TEXT     '__divmodsi4'
 003df2     38 TEXT     'GpioRead(PORT_struct*, unsigned char)'
 011c08     38 TEXT     'gui_set_time_timezone_cb(float)'
 00698c     38 TEXT     'task_powerdown_loop()'
 00d1c2     38 TEXT     'gui_mag_calib_init()'
 0068ce     38 TEXT     'task_active_irqh(unsigned char, unsigned char*)'
 017d1e     38 TEXT     'gui_usb_irqh(unsigned char, unsigned char*)'
 02746c     38 TEXT     'gps_normal()'
 02aa9a     38 TEXT     'audio_init()'
 0280b2     38 TEXT     'MS5611::Write(unsigned char)'
 0286ac     38 TEXT     'SHT21::Write(unsigned char)'
 02c1dc     38 TEXT     'lcd_display::SetContrast(unsigned char)'
 802051     38     DATA 'layout_list'
 02eda0     38 TEXT     'floor'
 02f4fa     38 TEXT     '__divmodhi4'
 00075f     37 TEXT     'layout_333'
 006c94     36 TEXT     'task_loop()'
 006da4     36 TEXT     'task_irqh(unsigned char, unsigned char*)'
 02e1b8     36 TEXT     'Post()'
 00e342     36 TEXT     'gui_waypoint_list_browse()'
 014a8c     36 TEXT     'gui_filemanager_init()'
 02b68a     36 TEXT     'battery_force_update()'
 018074     36 TEXT     'protocol_tx_write(unsigned char)'
 0165b6     36 TEXT     'gui_page_set_mode(unsigned char)'
 02a4d4     36 TEXT     'pan1322::WaitForOK()'
 027920     36 TEXT     'L3gd20::Reset()'
 019bc0     36 TEXT     'Sha256Class::write(unsigned char)'
 802412     36     DATA 'InquiryData'
 001be4     36 TEXT     'img_gps_off'
 026a00     36 TEXT     '_GLOBAL__sub_I_mems_i2c'
 01191e     34 TEXT     'load_task()'
 02dd36     34 TEXT     'fast_flip(unsigned char)'
 02e0f2     34 TEXT     'rindex(char*, char)'
 00e6fe     34 TEXT     'gui_set_advanced_restore_cfg_cb(unsigned char)'
 0112dc     34 TEXT     'gui_set_logger_glider_type_cb(unsigned char, char*)'
 0112fe     34 TEXT     'gui_set_logger_glider_id_cb(unsigned char, char*)'
 0112ba     34 TEXT     'gui_set_logger_pilot_cb(unsigned char, char*)'
 02d256     34 TEXT     'time_is_set()'
 02d9f8     34 TEXT     'bat_en_low(unsigned char)'
 02a480     34 TEXT     'pan1322::AcceptConnection()'
 027bf2     34 TEXT     'Lsm303d::WriteAnd(unsigned char, unsigned char)'
 027bd0     34 TEXT     'Lsm303d::WriteOr(unsigned char, unsigned char)'
 027d1a     34 TEXT     'Lsm303d::EnableAccFIFO(unsigned char)'
 0278fe     34 TEXT     'L3gd20::WriteOr(unsigned char, unsigned char)'
 027974     34 TEXT     'L3gd20::EnableGyroFIFO(unsigned char)'
 027952     34 TEXT     'L3gd20::EnableGyro(l3g_odr, l3g_scale, l3g_bw)'
 0064fa     34 TEXT     'USB_USBTask'
 02655e     34 TEXT     '_GLOBAL__sub_I_sd_spi_usart'
 02d996     34 TEXT     '_GLOBAL__sub_I_hw_uart_tx_buffer'
 027860     34 TEXT     '_GLOBAL__sub_I_gps_uart_rx_buffer'
 02efc2     34 TEXT     '__fp_sinus'
 02efa0     34 TEXT     '__fp_round'
 02ef12     34 TEXT     '__fp_powsodd'
 0007cb     33 TEXT     'layout_233'
 01a224     32 TEXT     'agl_init()'
 024de0     32 TEXT     'f_close(FIL*)'
 02db16     32 TEXT     'cmpn_p(char*, char const*, unsigned char)'
 01241c     32 TEXT     'gui_set_vario_advanced_high_weak_cb(float)'
 0123fc     32 TEXT     'gui_set_vario_advanced_low_weak_cb(float)'
 0123dc     32 TEXT     'gui_set_vario_advanced_poffset_cb(float)'
 0124ac     32 TEXT     'gui_set_vario_advanced_demo_cb(float)'
 01a9a8     32 TEXT     'airspace_convert_alt_m(unsigned int)'
 02a512     32 TEXT     'pan1322::Init(Usart*)'
 003f7e     32 TEXT     'I2c::StartTransmittion(unsigned char, unsigned char)'
 002509     32 TEXT     'sha256InitState'
 02fb30     32 TEXT     'fprintf'
 02eea8     32 TEXT     '__fp_negdi'
 005e60     32 TEXT     'Endpoint_Write_8'
 005e40     32 TEXT     'Endpoint_Read_8'
 02ff68     32 TEXT     'eeprom_read_byte'
 810000     32     DATA 'ee_fw_info'
 003b40     32 TEXT     '__do_global_ctors'
 0006fa     32 TEXT     'ConfigurationDescriptor'
 02daf8     30 TEXT     'cmpn(char*, char const*, unsigned char)'
 0119e6     30 TEXT     'gui_set_system_auto_power_off_cb(float)'
 00e2c0     30 TEXT     'gui_waypoint_editor_init()'
 01a016     30 TEXT     'acc_calc_init()'
 027cc4     30 TEXT     'Lsm303d::EnableAcc(lsm303d_acc_odr, lsm303f_acc_scale)'
 004662     30 TEXT     'Usart::Usart(unsigned int, unsigned char*, unsigned int, unsigned char*)'
 004662     30 TEXT     'Usart::Usart(unsigned int, unsigned char*, unsigned int, unsigned char*)'
 0043e0     30 TEXT     'Timer::SetMode(xlib_core_timer_mode_e)'
 0043aa     30 TEXT     'Timer::Start()'
 02ca00     30 TEXT     'lcd_display::SetRowCol(unsigned char, unsigned char)'
 02bfba     30 TEXT     'lcd_display::GotoXY(signed char, signed char)'
 02bf9c     30 TEXT     'lcd_display::SetDrawLayer(unsigned char)'
 02f5ba     30 TEXT     '__umulhisi3'
 02f482     30 TEXT     '__mulsi3'
 005e22     30 TEXT     'Endpoint_ClearOUT'
 02feec     30 TEXT     'eeprom_update_block'
 000784     29 TEXT     'layout_313'
 0007ec     29 TEXT     'layout_223'
 00084d     29 TEXT     'layout_133'
 02d830     28 TEXT     'uart_send(char*)'
 013312     28 TEXT     'gui_stop()'
 01243c     28 TEXT     'gui_set_vario_advanced_plength_cb(float)'
 02b5ba     28 TEXT     'get_battery_per_from_calibration(unsigned int)'
 00dce4     28 TEXT     'gui_task_settings_deadline_cb(float)'
 00dcc8     28 TEXT     'gui_task_settings_start_cb(float)'
 008c4e     28 TEXT     'widget_home_info_irqh(unsigned char, unsigned char*)'
 0068a6     28 TEXT     'task_active_stop()'
 010e96     28 TEXT     'gui_set_gps_init()'
 004646     28 TEXT     'Timer::SetInterruptPriority(unsigned char)'
 02ee86     28 TEXT     '__fp_mpack'
 003dd8     26 TEXT     'GpioWrite(PORT_struct*, unsigned char, unsigned char)'
 014a68     26 TEXT     'gui_filemanager_set_dir(char*)'
 021606     26 TEXT     'waypoint_task_remove()'
 02d9c8     26 TEXT     'turnoff_subsystems()'
 01653a     26 TEXT     'gui_page_power_off()'
 02d2ae     26 TEXT     'time_wait_for_gps()'
 02d2c8     26 TEXT     'time_set_default()'
 003e42     26 TEXT     'GpioSetDirection(PORT_struct*, unsigned char, unsigned char)'
 02d726     26 TEXT     'time_set_flags()'
 0288fc     26 TEXT     'bt_module_init()'
 0192d0     26 TEXT     'logger_active()'
 003e28     26 TEXT     'GpioSetInvert(PORT_struct*, unsigned char, unsigned char)'
 018e76     26 TEXT     'kml_comment(char*)'
 02a4f8     26 TEXT     'pan1322::Restart()'
 028cda     26 TEXT     'pan1026::Init(Usart*)'
 00462c     26 TEXT     'Timer::SetValue(unsigned int)'
 004612     26 TEXT     'Timer::GetValue()'
 004490     26 TEXT     'Timer::SetTop(unsigned int)'
 004062     26 TEXT     'I2c::Status()'
 001e30     26 TEXT     'img_pwr'
 006124     26 TEXT     'USB_Disable'
 02f6a6     26 TEXT     '__mulsidi3'
 003b16     26 TEXT     '__do_copy_data'
 02f4b8     26 TEXT     '__divmodqi4'
 0007a1     25 TEXT     'layout_33'
 000809     25 TEXT     'layout_222'
 00086a     25 TEXT     'layout_132'
 000883     25 TEXT     'layout_123'
 02e0da     24 TEXT     'index(char*, char)'
 01111c     24 TEXT     'gui_set_layout_init()'
 00d0de     24 TEXT     'gui_mag_snd_update()'
 0289a8     24 TEXT     'bt_unknown_parser()'
 013092     24 TEXT     'gui_forcemessage()'
 02bd0e     24 TEXT     'buttons_deinit()'
