 01d90e   3668 TEXT     'imu_MadgwickQuaternionUpdate()'
 012a24    112 TEXT     'gui_set_widgets_action(unsigned char)'
 0253c0    112 TEXT     'xmit_datablock(unsigned char const*, unsigned char)'
 02a9bc    110 TEXT     'read_battery_per_from_calibration(unsigned int)'
 0161ae    110 TEXT     'gui_pages_set_time_manual_cb(float)'
 02104c    110 TEXT     'waypoint_task_opti_distance(opti_waypoint_cache_t*, opti_waypoint_cache_t*)'
 0046ac    110 TEXT     'Usart::SetInterruptPriority(unsigned char)'
 0042f8    110 TEXT     'Timer::SetCompare(unsigned char, unsigned int)'
 02c254    110 TEXT     'lcd_display::get_sin(unsigned int)'
 0237a6    110 TEXT     'dir_read(DIR*, int) [clone .constprop.14]'
 00e802    108 TEXT     'gui_set_airspaces_reset_cb(unsigned char)'
 020e1c    108 TEXT     'waypoint_task_switch_wpt(unsigned char, unsigned char)'
 010474    108 TEXT     'gui_set_calib_action(unsigned char)'
 02ab1e    108 TEXT     'save_bat_cal_value(unsigned int)'
 01cae2    108 TEXT     'fc_zero_alt(unsigned char)'
 02b5a4    108 TEXT     'lcd_display::LoadFont(unsigned char const*)'
 02d5be    106 TEXT     'Setup()'
 00415e    106 TEXT     'Timer::Init(PORT_struct*, xlib_core_timer_prescaler_e)'
 027c60    106 TEXT     '__vector_35'
 005cce    106 TEXT     'Endpoint_SelectEndpoint'
 01ba1a    104 TEXT     'cfg_mag_write_defaults()'
 01b9b2    104 TEXT     'cfg_acc_write_defaults()'
 029fee    104 TEXT     'buzzer_set_freq(unsigned int)'
 00459c    104 TEXT     'Usart::RxComplete()'
 020db6    102 TEXT     'waypoint_task_modify_wpt(unsigned char, task_waypoint_t*, bool)'
 020ae8    102 TEXT     'waypoint_task_get_wpt(unsigned char, task_waypoint_t*, bool)'
 012d82    102 TEXT     'gui_trigger_backlight()'
 02cd8c    102 TEXT     'uart_low_speed()'
 01eef2    102 TEXT     'KalmanFilter::Update_Propagate(float, float, float*, float*)'
 02f158    102 TEXT     'vsnprintf_P'
 02e88c    102 TEXT     'modf'
 02a0be    100 TEXT     'seq_start(sequence_t const*, unsigned char, bool)'
 00e12c    100 TEXT     'gui_waypoint_list_item(unsigned char, char*, unsigned char*, char*)'
 012fc4    100 TEXT     'gui_caligh_text(char*, unsigned char, unsigned char)'
 025c2e    100 TEXT     'storage_deinit()'
 017fa2    100 TEXT     'igc_writeline(char*, bool)'
 004604    100 TEXT     'Usart::TxComplete()'
 0163a2     98 TEXT     'page_set(unsigned char)'
 018baa     98 TEXT     'kml_stop()'
 011e66     98 TEXT     'gui_set_vario_sink_cb(float)'
 011e04     98 TEXT     'gui_set_vario_lift_cb(float)'
 01b0b0     98 TEXT     'circling_reset()'
 02c0e6     98 TEXT     'lcd_display::CopyToLayerPart(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)'
 027f8c     96 TEXT     'bt_send(unsigned int, unsigned char*)'
 00cb1a     96 TEXT     'gui_flightdetail_init()'
 0104e0     96 TEXT     'gui_set_calib_item(unsigned char, char*, unsigned char*, char*)'
 014324     96 TEXT     'gui_dialog_set_P(char const*, char const*, unsigned char, void (*)(unsigned char))'
 020366     96 TEXT     'waypoint_show()'
 0055cc     96 TEXT     'CALLBACK_USB_GetDescriptor'
 01bc34     94 TEXT     'cfg_load()'
 019ca0     94 TEXT     'agl_step()'
 00eb14     94 TEXT     'gui_set_airspaces_class_action(unsigned char)'
 016ae6     94 TEXT     'page_select_first_widget()'
 006970     94 TEXT     'task_get_ms_tick_once()'
 003caa     94 TEXT     'GpioSetInterrupt(PORT_struct*, unsigned char, xlib_core_gpio_intmask_e)'
 00492e     94 TEXT     'Usart::Read()'
 02be12     94 TEXT     'lcd_display::DrawCircle(unsigned char, unsigned char, unsigned char, unsigned char)'
 021e90     92 TEXT     'waypoint_task_time_to_deadline()'
 021e34     92 TEXT     'waypoint_task_time_to_start()'
 016a8a     92 TEXT     'page_select_next_widget()'
 00f3b6     92 TEXT     'gui_set_altimeter_stop()'
 013e4c     92 TEXT     'gui_alarm_init()'
 005f8c     92 TEXT     'USB_ResetInterface'
 8022a8     92     DATA 'gui_stop_array'
 80224c     92     DATA 'gui_loop_array'
 8021f0     92     DATA 'gui_irqh_array'
 802304     92     DATA 'gui_init_array'
 002cf7     91 TEXT     'sin_table'
 02d1c8     90 TEXT     'io_init()'
 00f50e     90 TEXT     'gui_set_altimeters_qnh2_cb(float)'
 01485c     90 TEXT     'gui_filemanager_item(unsigned char, char*, unsigned char*, char*)'
 006742     90 TEXT     'task_powerdown_init()'
 0152ea     90 TEXT     'gui_text_add(char)'
 0299a2     90 TEXT     'pan1322::SetName(char const*)'
 027b7e     90 TEXT     'SHT21::Read()'
 02c39a     88 TEXT     'led_set(unsigned int, unsigned int, unsigned int)'
 00c3a6     88 TEXT     'gui_compass_calib_declination(float)'
 020a90     88 TEXT     'waypoint_task_modify_head(task_header_t*, bool)'
 017ca0     88 TEXT     'protocol_bluefly_step()'
 016b44     88 TEXT     'gui_pages_idle_irqh(unsigned char, unsigned char*)'
 027d14     88 TEXT     'bt_module_reset()'
 019094     88 TEXT     'logger_comment(char const*, ...)'
 014eee     88 TEXT     'gui_text_conf(char*, unsigned char, void (*)(unsigned char, char*))'
 014e96     88 TEXT     'gui_list_irqh(unsigned char, unsigned char*)'
 004408     88 TEXT     'Timer::DisableInterrupts(unsigned char)'
 02f05c     88 TEXT     'fputs'
 02e0ba     88 TEXT     '__fixunssfsi'
 012c9a     86 TEXT     'gui_settings_item(unsigned char, char*, unsigned char*, char*)'
 0186de     86 TEXT     'igc_comment(char*)'
 003ede     86 TEXT     '__vector_46'
 003f34     86 TEXT     '__vector_13'
 02e3c2     86 TEXT     '__fp_rempio2'
 01ea3a     84 TEXT     'imu_step()'
 013312     84 TEXT     'gui_init()'
 007f26     84 TEXT     'widget_compass_arrow_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 027488     84 TEXT     'MS5611::Read24(unsigned char)'
 001c08     84 TEXT     'img_gps_on'
 005fe8     84 TEXT     'USB_Init'
 00ba14     82 TEXT     'gui_accelerometer_calib_init()'
 008ab8     82 TEXT     'widget_waypoint_info_irqh(unsigned char, unsigned char*)'
 016a38     82 TEXT     'page_widgets_have_menu()'
 01d570     82 TEXT     'fc_manual_alt0_change(float)'
 02f106     82 TEXT     'sprintf_P'
 02f0b4     82 TEXT     'sprintf'
 005e36     82 TEXT     'Endpoint_ConfigureEndpoint_PRV'
 008b8a     80 TEXT     'widget_odometer_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 012cf0     80 TEXT     'gui_settings_action(unsigned char)'
 014f46     80 TEXT     'gui_text_gen_c(unsigned char, unsigned char)'
 02a056     80 TEXT     'buzzer_init()'
 022bb0     80 TEXT     'clust2sect(FATFS*, unsigned long)'
 027bd8     80 TEXT     'SHT21::CompensateTemperature()'
 004060     80 TEXT     'Spi::InitMaster(SPI_struct*, PORT_struct*, unsigned char)'
 022ee8     80 TEXT     'dir_remove(DIR*)'
 004ba2     80 TEXT     '__vector_89'
 004b52     80 TEXT     '__vector_88'
 004c42     80 TEXT     '__vector_59'
 004bf2     80 TEXT     '__vector_58'
 004b02     80 TEXT     '__vector_26'
 004ab2     80 TEXT     '__vector_25'
 004ce2     80 TEXT     '__vector_120'
 004c92     80 TEXT     '__vector_119'
 02cacc     80 TEXT     '__vector_10'
 005db8     80 TEXT     'Endpoint_ClearSETUP'
 02df0e     80 TEXT     'atan'
 02a1a8     78 TEXT     'seq_loop()'
 008f76     78 TEXT     'widget_waypoint_direction_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00dac8     78 TEXT     'gui_task_editor_init()'
 019ea8     78 TEXT     'airspace_is_inside(unsigned int, unsigned int, int, int)'
 029fa0     78 TEXT     'buzzer_set_vol(unsigned char)'
 029f30     78 TEXT     'audio_step()'
 025272     78 TEXT     'wait_ready()'
 008c22     76 TEXT     'widget_waypoint_distance_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00f84e     76 TEXT     'gui_set_audio_vario_vol_cb(float)'
 00f89a     76 TEXT     'gui_set_audio_alert_vol_cb(float)'
 006678     76 TEXT     'task_special_files_handle()'
 00f8e6     76 TEXT     'gui_set_audio_menu_vol_cb(float)'
 008148     76 TEXT     'widget_ctrl_wlift_irqh(unsigned char, unsigned char*)'
 00e2a0     76 TEXT     'gui_waypoint_list_init()'
 02d304     76 TEXT     'sec_to_mul(float)'
 029ebe     76 TEXT     'pan1322::StreamHead(unsigned int)'
 028864     76 TEXT     'pan1026::ParseGAT_cli()'
 02743c     76 TEXT     'MS5611::Read16(unsigned char)'
 02eb32     76 TEXT     '__umulsidi3_helper'
 02ec7a     76 TEXT     'atol'
 01d8c4     74 TEXT     'imu_init()'
 003bd0     74 TEXT     'DacInit(unsigned char)'
 01323c     74 TEXT     'gui_update_disp_cfg()'
 025cce     74 TEXT     'storage_get_files()'
 01ca26     74 TEXT     'fc_alt_to_qnh(float, float)'
 01abf2     74 TEXT     'airspace_step()'
 02d2ba     74 TEXT     'mul_to_sec(float)'
 028164     74 TEXT     'pan1026::SetBusy(unsigned int)'
 02bcfe     74 TEXT     'lcd_display::InvertPart(unsigned char, unsigned char, unsigned char, unsigned char)'
 02e338     74 TEXT     '__fp_powser'
 02cf20     72 TEXT     'GetID_str(char*)'
 026c72     72 TEXT     'gps_stop()'
 01c4fe     72 TEXT     'fc_reset()'
 008bda     72 TEXT     'widget_home_distance_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 008f2e     72 TEXT     'widget_home_arrow_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 017f54     72 TEXT     'protocol_step()'
 004554     72 TEXT     'Usart::GetRxLen()'
 02e26c     72 TEXT     '__fp_cmp'
 02224a     70 TEXT     'wind_init()'
 017dfc     70 TEXT     'protocol_generic_parse()'
 014e50     70 TEXT     'gui_list_action()'
 01ca9c     70 TEXT     'fc_alt_to_press(float, float)'
 0274dc     70 TEXT     'MS5611::ReadPROM()'
 004e8e     70 TEXT     'RingBuffer::Rewind(unsigned int)'
 004dfe     70 TEXT     'RingBuffer::Write(unsigned char)'
 004db8     70 TEXT     'RingBuffer::Read()'
 02f376     70 TEXT     'eeprom_write_byte'
 01c798     68 TEXT     'fc_hike()'
 008194     68 TEXT     'widget_ctrl_audio_irqh(unsigned char, unsigned char*)'
 014818     68 TEXT     'gui_dialog_irqh(unsigned char, unsigned char*)'
 02cc14     68 TEXT     'time_get_utc()'
 02ba20     68 TEXT     'lcd_display::InvertPixel(unsigned char, unsigned char)'
 02e990     68 TEXT     '__udivmodsi4'
 02e454     68 TEXT     '__fp_split3'
 00fcc0     66 TEXT     'gui_set_autoset_config_acro_thold_cb(float)'
 02bdd0     66 TEXT     'lcd_display::plot8points(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)'
 0252c0     66 TEXT     'select()'
 0121ea     64 TEXT     'gui_set_vario_advanced_weak_cb(float)'
 00eb72     64 TEXT     'gui_set_airspaces_class_item(unsigned char, char*, unsigned char*, char*)'
 00e2ec     64 TEXT     'gui_set_layouts_pages_cb(float)'
 01ba82     64 TEXT     'cfg_gyro_write_defaults()'
 02cbc2     64 TEXT     'time_set_utc(unsigned long)'
 0299fc     64 TEXT     'pan1322::SetDiscoverable(bool)'
 02810a     64 TEXT     'pan1026::Restart()'
 022398     64 TEXT     'get_ldnumber(char const**)'
 02e648     64 TEXT     'round'
 009b02     62 TEXT     'widget_flight_time_irqh(unsigned char, unsigned char*)'
 008a5e     62 TEXT     'widget_odometer_irqh(unsigned char, unsigned char*)'
 012a94     62 TEXT     'gui_set_widgets_init()'
 026fc4     62 TEXT     'Lsm303d::Write(unsigned char, unsigned char)'
 027002     62 TEXT     'Lsm303d::Read(unsigned char)'
 026cf2     62 TEXT     'L3gd20::Write(unsigned char, unsigned char)'
 026d30     62 TEXT     'L3gd20::Read(unsigned char)'
 0223d8     62 TEXT     'validate(void*)'
 0222a6     62 TEXT     'mem_cpy(void*, void const*, unsigned int)'
 00dec2     60 TEXT     'gui_waypoint_editor_radius_cb(float)'
 00cfd4     60 TEXT     'gui_mag_calib_get_extrem(int, int*, int*)'
 010f2e     60 TEXT     'gui_set_gps_detail_irqh(unsigned char, unsigned char*)'
 016324     60 TEXT     'gui_enter_widget_menu()'
 0149a2     60 TEXT     'gui_filemanager_stop()'
 00f41a     60 TEXT     'set_alt_find_abs(unsigned char, unsigned char)'
 02d222     60 TEXT     'mems_power_init()'
 01ea8e     60 TEXT     'KalmanFilter::Configure(float, float, float)'
 02b610     60 TEXT     'lcd_display::sendcommand(unsigned char)'
 006aa2     58 TEXT     'task_init()'
 0105c0     58 TEXT     'gui_set_display_brightness_cb(float)'
 00e792     58 TEXT     'gui_set_airspaces_warning_cb(float)'
 010586     58 TEXT     'gui_set_display_contrast_cb(float)'
 01fe4c     58 TEXT     'vario_update_history_delay()'
 012f8a     58 TEXT     'gui_raligh_text_P(char const*, unsigned char, unsigned char)'
 013028     58 TEXT     'gui_caligh_text_P(char const*, unsigned char, unsigned char)'
 0271e4     58 TEXT     'Lsm303d::StartReadAccStream(unsigned char)'
 026e1e     58 TEXT     'L3gd20::StartReadGyroStream(unsigned char)'
 02efaa     58 TEXT     'fprintf_P'
 02ec40     58 TEXT     'atoi'
 00f350     56 TEXT     'gui_set_altimeter_list()'
 019e38     56 TEXT     'airspace_alt_is_below(unsigned int, int, int)'
 019e70     56 TEXT     'airspace_alt_is_above(unsigned int, int, int)'
 003a50     56 TEXT     'AdcPipeSetSource(ADC_CH_struct*, xlib_core_adc_source_e)'
 014db2     56 TEXT     'gui_list_set(void (*)(unsigned char, char*, unsigned char*, char*), void (*)(unsigned char), unsigned char, unsigned char)'
 0271ac     56 TEXT     'Lsm303d::Start()'
 027c28     56 TEXT     'SHT21::CompensateHumidity()'
 0040b0     56 TEXT     'Spi::Stop()'
 02ebb4     56 TEXT     '__lshrdi3'
 005e88     56 TEXT     'Endpoint_ClearEndpoints'
 00fc8a     54 TEXT     'gui_set_autoset_config_circling_timeout_cb(float)'
 010550     54 TEXT     'gui_set_display_brightness_timeout_cb(float)'
 00ec9a     54 TEXT     'gui_set_alt_alarm_confirm_secs_cb(float)'
 00e7cc     54 TEXT     'gui_set_airspace_confirm_secs_cb(float)'
 00ec2e     54 TEXT     'gui_set_alt_alarm_alarm_h1_cb(float)'
 00ebf8     54 TEXT     'gui_set_alt_alarm_alarm2_cb(float)'
 00ebc2     54 TEXT     'gui_set_alt_alarm_alarm1_cb(float)'
 00ec64     54 TEXT     'gui_set_alt_alarm_reset_cb(float)'
 01162e     54 TEXT     'gui_set_menu_audio_action(unsigned char)'
 01116e     54 TEXT     'gui_set_total_time_cb(float)'
 021bbc     54 TEXT     'waypoint_goto_next()'
 013e16     54 TEXT     'suppress_alarm()'
 0162ee     54 TEXT     'gui_pages_init()'
 02c6e8     54 TEXT     'time_need_set()'
 028a36     54 TEXT     'pan1026::RawSendStatic(unsigned char const*, unsigned char)'
 02e2c0     54 TEXT     '__fp_mintl'
 02e236     54 TEXT     '__fp_arccos'
 00feee     52 TEXT     'gui_set_autostart_start_threshold_cb(float)'
 00ff22     52 TEXT     'gui_set_autostart_land_threshold_cb(float)'
 00ff8a     52 TEXT     'gui_set_autostart_gps_speed_cb(float)'
 00ff56     52 TEXT     'gui_set_autostart_timeout_cb(float)'
 00fbc6     52 TEXT     'gui_set_autoset_action(unsigned char)'
 0129f0     52 TEXT     'gui_set_widgets_item(unsigned char, char*, unsigned char*, char*)'
 02a988     52 TEXT     'battery_calibrated()'
 027ce0     52 TEXT     'bt_module_deinit()'
 0190fa     52 TEXT     'logger_stop()'
 02c148     52 TEXT     'lcd_display::ClearBuffer()'
 02eebe     52 TEXT     'strstr_P'
 00563c     52 TEXT     'EVENT_USB_Device_ControlRequest'
 005d84     52 TEXT     'Endpoint_IsSETUPReceived'
 005d50     52 TEXT     'Endpoint_IsOUTReceived'
 02c680     50 TEXT     'lcd_bckl(unsigned char)'
 02d400     50 TEXT     'atoi_c(char*)'
 017f22     50 TEXT     'protocol_set_next_step(unsigned long)'
 004012     50 TEXT     'RtcEnableInterrupts(unsigned char)'
 017eee     50 TEXT     'protocol_tx_flush()'
 014e1e     50 TEXT     'gui_list_movedown()'
 01c9f4     50 TEXT     'fc_alarm_running(unsigned char)'
 01b5a4     50 TEXT     'compass_init()'
 029912     50 TEXT     'pan1322::StreamTail()'
 027152     50 TEXT     'Lsm303d::EnableMag(lsm303d_mag_odr, lsm303d_mag_scale, bool)'
 027084     50 TEXT     'Lsm303d::Reset()'
 004e44     50 TEXT     'RingBuffer::Write(unsigned int, unsigned char*)'
 0280c4     50 TEXT     '_GLOBAL__sub_I_bt_autodetect'
 02eb7e     50 TEXT     '__ashldi3'
 0066c4     48 TEXT     'task_active_init()'
 014f96     48 TEXT     'gui_text_del()'
 02754c     48 TEXT     'MS5611::Init(I2c*, unsigned char)'
 004a5e     48 TEXT     'Usart::SendRaw(unsigned char)'
 027aec     48 TEXT     'SHT21::SelfTest()'
 027b46     48 TEXT     'SHT21::Init(I2c*, sht21_settings)'
 01912e     48 TEXT     'Sha256Class::init()'
 02b688     48 TEXT     'lcd_display::Stop()'
 02c0ae     48 TEXT     'lcd_display::CopyToLayer(unsigned char)'
 004ed4     48 TEXT     'RingBuffer::Forward(unsigned int)'
 000d1f     47 TEXT     'widget_sorted'
 00f388     46 TEXT     'gui_set_altimeter_init()'
 009b40     46 TEXT     'widget_hike_mode_irqh(unsigned char, unsigned char*)'
 025dba     46 TEXT     'storage_file_exist_P(char const*)'
 00682a     46 TEXT     'task_update_init()'
 02d28c     46 TEXT     'mems_power_off()'
 02d25e     46 TEXT     'mems_power_on()'
 004f40     46 TEXT     'RingBufferSmall::Write(unsigned char)'
 02e498     46 TEXT     '__fp_trunc'
 005e08     46 TEXT     'Endpoint_StallTransaction'
 02de6c     46 TEXT     'asin'
 02cc74     44 TEXT     'uart_send(unsigned int, unsigned char*)'
 0122ce     44 TEXT     'gui_set_vario_advanced_avg_int_cb(float)'
 02aa46     44 TEXT     'battery_reset_calibration()'
 025d8e     44 TEXT     'storage_file_exist(char*)'
 013b3c     44 TEXT     'gui_airspace_init()'
 0067ae     44 TEXT     'powerdown_sleep()'
 01ca70     44 TEXT     'fc_press_to_alt(float, float)'
 0069e0     44 TEXT     'fine_timer_get()'
 004f14     44 TEXT     'RingBufferSmall::Read()'
 005ec0     44 TEXT     'Endpoint_ClearStatusStage'
 01bac2     42 TEXT     'cfg_compass_write_defaults()'
 01baec     42 TEXT     'cfg_baro_write_defaults()'
 0171ea     42 TEXT     'gui_update_eeprom_cb(unsigned char)'
 006800     42 TEXT     'task_powerdown_irqh(unsigned char, unsigned char*)'
 021bf2     42 TEXT     'waypoint_goto_prev()'
 012eb6     42 TEXT     'gui_showmessage_P(char const*)'
 013212     42 TEXT     'gui_dialog_P(char const*)'
 004682     42 TEXT     'Usart::Stop()'
 02517e     42 TEXT     'rcvr_mmc(unsigned char*, unsigned int)'
 005c46     42 TEXT     'Endpoint_ClearIN'
 004d3c     42 TEXT     'CCPIOWrite'
 0122a6     40 TEXT     'gui_set_vario_advanced_dig_int_cb(float)'
 016360     40 TEXT     'gui_exit_widget_menu()'
 014df6     40 TEXT     'gui_list_moveup()'
 026902     40 TEXT     'gps_detail()'
 02738a     40 TEXT     'Lsm303d::StartReadMag()'
 02524a     40 TEXT     'xmit_mmc(unsigned char const*, unsigned int)'
 0251a8     40 TEXT     'deselect()'
 02e942     40 TEXT     '__udivmodhi4'
 0006bc     40 TEXT     'ProductString'
 02e9d4     40 TEXT     '__divmodsi4'
 003c40     38 TEXT     'GpioRead(PORT_struct*, unsigned char)'
 011a56     38 TEXT     'gui_set_time_timezone_cb(float)'
 0067da     38 TEXT     'task_powerdown_loop()'
 00d010     38 TEXT     'gui_mag_calib_init()'
 00671c     38 TEXT     'task_active_irqh(unsigned char, unsigned char*)'
 017b6c     38 TEXT     'gui_usb_irqh(unsigned char, unsigned char*)'
 0268dc     38 TEXT     'gps_normal()'
 029f0a     38 TEXT     'audio_init()'
 027522     38 TEXT     'MS5611::Write(unsigned char)'
 027b1c     38 TEXT     'SHT21::Write(unsigned char)'
 02b64c     38 TEXT     'lcd_display::SetContrast(unsigned char)'
 802051     38     DATA 'layout_list'
 02e210     38 TEXT     'floor'
 02e96a     38 TEXT     '__divmodhi4'
 00075f     37 TEXT     'layout_333'
 006ae2     36 TEXT     'task_loop()'
 006bf2     36 TEXT     'task_irqh(unsigned char, unsigned char*)'
 02d628     36 TEXT     'Post()'
 00e190     36 TEXT     'gui_waypoint_list_browse()'
 0148da     36 TEXT     'gui_filemanager_init()'
 02aafa     36 TEXT     'battery_force_update()'
 017ec2     36 TEXT     'protocol_tx_write(unsigned char)'
 016404     36 TEXT     'gui_page_set_mode(unsigned char)'
 029944     36 TEXT     'pan1322::WaitForOK()'
 026d90     36 TEXT     'L3gd20::Reset()'
 802412     36     DATA 'InquiryData'
 001be4     36 TEXT     'img_gps_off'
 025e70     36 TEXT     '_GLOBAL__sub_I_mems_i2c'
 01176c     34 TEXT     'load_task()'
 02d1a6     34 TEXT     'fast_flip(unsigned char)'
 02d562     34 TEXT     'rindex(char*, char)'
 00e54c     34 TEXT     'gui_set_advanced_restore_cfg_cb(unsigned char)'
 01112a     34 TEXT     'gui_set_logger_glider_type_cb(unsigned char, char*)'
 01114c     34 TEXT     'gui_set_logger_glider_id_cb(unsigned char, char*)'
 011108     34 TEXT     'gui_set_logger_pilot_cb(unsigned char, char*)'
 02c6c6     34 TEXT     'time_is_set()'
 02ce68     34 TEXT     'bat_en_low(unsigned char)'
 0298f0     34 TEXT     'pan1322::AcceptConnection()'
 027062     34 TEXT     'Lsm303d::WriteAnd(unsigned char, unsigned char)'
 027040     34 TEXT     'Lsm303d::WriteOr(unsigned char, unsigned char)'
 02718a     34 TEXT     'Lsm303d::EnableAccFIFO(unsigned char)'
 026d6e     34 TEXT     'L3gd20::WriteOr(unsigned char, unsigned char)'
 026de4     34 TEXT     'L3gd20::EnableGyroFIFO(unsigned char)'
 026dc2     34 TEXT     'L3gd20::EnableGyro(l3g_odr, l3g_scale, l3g_bw)'
 006348     34 TEXT     'USB_USBTask'
 0259ce     34 TEXT     '_GLOBAL__sub_I_sd_spi_usart'
 02ce06     34 TEXT     '_GLOBAL__sub_I_hw_uart_tx_buffer'
 026cd0     34 TEXT     '_GLOBAL__sub_I_gps_uart_rx_buffer'
 02e432     34 TEXT     '__fp_sinus'
 02e410     34 TEXT     '__fp_round'
 02e382     34 TEXT     '__fp_powsodd'
 0007cb     33 TEXT     'layout_233'
 019694     32 TEXT     'agl_init()'
 024250     32 TEXT     'f_close(FIL*)'
 02cf86     32 TEXT     'cmpn_p(char*, char const*, unsigned char)'
 01226a     32 TEXT     'gui_set_vario_advanced_high_weak_cb(float)'
 01224a     32 TEXT     'gui_set_vario_advanced_low_weak_cb(float)'
 01222a     32 TEXT     'gui_set_vario_advanced_poffset_cb(float)'
 0122fa     32 TEXT     'gui_set_vario_advanced_demo_cb(float)'
 019e18     32 TEXT     'airspace_convert_alt_m(unsigned int)'
 029982     32 TEXT     'pan1322::Init(Usart*)'
 003dcc     32 TEXT     'I2c::StartTransmittion(unsigned char, unsigned char)'
 002452     32 TEXT     'sha256InitState'
 02ef8a     32 TEXT     'fprintf'
 02e318     32 TEXT     '__fp_negdi'
 005cae     32 TEXT     'Endpoint_Write_8'
 005c8e     32 TEXT     'Endpoint_Read_8'
 02f3c2     32 TEXT     'eeprom_read_byte'
 810000     32     DATA 'ee_fw_info'
 00398e     32 TEXT     '__do_global_ctors'
 0006fa     32 TEXT     'ConfigurationDescriptor'
 02cf68     30 TEXT     'cmpn(char*, char const*, unsigned char)'
 011834     30 TEXT     'gui_set_system_auto_power_off_cb(float)'
 00e10e     30 TEXT     'gui_waypoint_editor_init()'
 019486     30 TEXT     'acc_calc_init()'
 027134     30 TEXT     'Lsm303d::EnableAcc(lsm303d_acc_odr, lsm303f_acc_scale)'
 0044b0     30 TEXT     'Usart::Usart(unsigned int, unsigned char*, unsigned int, unsigned char*)'
 0044b0     30 TEXT     'Usart::Usart(unsigned int, unsigned char*, unsigned int, unsigned char*)'
 00422e     30 TEXT     'Timer::SetMode(xlib_core_timer_mode_e)'
 0041f8     30 TEXT     'Timer::Start()'
 02be70     30 TEXT     'lcd_display::SetRowCol(unsigned char, unsigned char)'
 02b42a     30 TEXT     'lcd_display::GotoXY(signed char, signed char)'
 02b40c     30 TEXT     'lcd_display::SetDrawLayer(unsigned char)'
 02ea2a     30 TEXT     '__umulhisi3'
 02e8f2     30 TEXT     '__mulsi3'
 005c70     30 TEXT     'Endpoint_ClearOUT'
 02f346     30 TEXT     'eeprom_update_block'
 000784     29 TEXT     'layout_313'
 0007ec     29 TEXT     'layout_223'
 00084d     29 TEXT     'layout_133'
 02cca0     28 TEXT     'uart_send(char*)'
 013160     28 TEXT     'gui_stop()'
 01228a     28 TEXT     'gui_set_vario_advanced_plength_cb(float)'
 02aa2a     28 TEXT     'get_battery_per_from_calibration(unsigned int)'
 00db32     28 TEXT     'gui_task_settings_deadline_cb(float)'
 00db16     28 TEXT     'gui_task_settings_start_cb(float)'
 008a9c     28 TEXT     'widget_home_info_irqh(unsigned char, unsigned char*)'
 0066f4     28 TEXT     'task_active_stop()'
 010ce4     28 TEXT     'gui_set_gps_init()'
 004494     28 TEXT     'Timer::SetInterruptPriority(unsigned char)'
 02e2f6     28 TEXT     '__fp_mpack'
 003c26     26 TEXT     'GpioWrite(PORT_struct*, unsigned char, unsigned char)'
 0148b6     26 TEXT     'gui_filemanager_set_dir(char*)'
 020a76     26 TEXT     'waypoint_task_remove()'
 02ce38     26 TEXT     'turnoff_subsystems()'
 016388     26 TEXT     'gui_page_power_off()'
 02c71e     26 TEXT     'time_wait_for_gps()'
 02c738     26 TEXT     'time_set_default()'
 003c90     26 TEXT     'GpioSetDirection(PORT_struct*, unsigned char, unsigned char)'
 02cb96     26 TEXT     'time_set_flags()'
 027d6c     26 TEXT     'bt_module_init()'
 018fea     26 TEXT     'logger_active()'
 003c76     26 TEXT     'GpioSetInvert(PORT_struct*, unsigned char, unsigned char)'
 018b90     26 TEXT     'kml_comment(char*)'
 029968     26 TEXT     'pan1322::Restart()'
 02814a     26 TEXT     'pan1026::Init(Usart*)'
 00447a     26 TEXT     'Timer::SetValue(unsigned int)'
 004460     26 TEXT     'Timer::GetValue()'
 0042de     26 TEXT     'Timer::SetTop(unsigned int)'
 003eb0     26 TEXT     'I2c::Status()'
 001e30     26 TEXT     'img_pwr'
 005f72     26 TEXT     'USB_Disable'
 02eb16     26 TEXT     '__mulsidi3'
 003964     26 TEXT     '__do_copy_data'
 02e928     26 TEXT     '__divmodqi4'
 0007a1     25 TEXT     'layout_33'
 000809     25 TEXT     'layout_222'
 00086a     25 TEXT     'layout_132'
 000883     25 TEXT     'layout_123'
 02d54a     24 TEXT     'index(char*, char)'
 010f6a     24 TEXT     'gui_set_layout_init()'
 00cf2c     24 TEXT     'gui_mag_snd_update()'
 027e18     24 TEXT     'bt_unknown_parser()'
 012ee0     24 TEXT     'gui_forcemessage()'
 02b17e     24 TEXT     'buttons_deinit()'
 017214     24 TEXT     'gui_update_cb(unsigned char)'
 02a0a6     24 TEXT     'seq_active()'
 0246aa     24 TEXT     'f_closedir(DIR*)'
 00687a     24 TEXT     'SleepLock::Lock()'
 0275a4     24 TEXT     'MS5611::ReadTemperature()'
 02758c     24 TEXT     'MS5611::ReadPressure()'
 026e06     24 TEXT     'L3gd20::Start()'
 004216     24 TEXT     'Timer::Stop()'
